question,options
"How many vehicles were ahead of you?","None;1–2;3–4;More than 4"
"How many pedestrians were in the scene?","None;1–2;3–4;More than 4"
"How many motorbikes were in the scene?","None;1–2;3–4;More than 4"
"How many tuk tuks were in the scene?","None;1–2;3–4;More than 4"
"How many umbrellas were in the scene?","None;1–2;3–4;More than 4"
"How many food stands were in the scene?","None;1–2;3–4;More than 4"
"How many buses were in the scene?","None;1–2;3–4;More than 4"
"How many motorbikes entered from the left?","None;1–2;3–4;More than 4"
"How many motorbikes entered from the right?","None;1–2;3–4;More than 4"
"What vehicle did you overtake?","None;Car;Van;Tuk tuk"
"What did the pedestrians do at the end?","Walking slowly;Standing still;Running across;Walking on sidewalk"
"How many lanes did the road have?","2;4;6"
"Color of car in front at end?","Green;Black;Red;White"
"From which direction did the tuk tuk come?","Left;Right;Behind"
"Pedestrians crossing L→R?","None;1;2;3"
"Pedestrians crossing R→L?","None;1;2;3"
"Pedestrian vs tuk tuk?","Front;Behind;No interaction"
"Pedestrian vs white car?","Front;Behind;No interaction"
